::ffff:127.0.0.1 - - [10/Oct/2022:02:42:27 +0000] "POST /upload HTTP/1.1" 200 - "-" "PostmanRuntime/7.28.4"
::ffff:127.0.0.1 - - [10/Oct/2022:02:46:01 +0000] "POST /home/eee HTTP/1.1" 404 148 "-" "PostmanRuntime/7.28.4"
::ffff:127.0.0.1 - - [10/Oct/2022:02:46:18 +0000] "POST /home/eee HTTP/1.1" 404 148 "-" "PostmanRuntime/7.28.4"
::ffff:127.0.0.1 - - [10/Oct/2022:02:46:27 +0000] "POST /home HTTP/1.1" 404 144 "-" "PostmanRuntime/7.28.4"
::ffff:127.0.0.1 - - [10/Oct/2022:02:46:40 +0000] "GET /home HTTP/1.1" 404 143 "-" "PostmanRuntime/7.28.4"
::ffff:127.0.0.1 - - [10/Oct/2022:02:46:49 +0000] "GET /home HTTP/1.1" 404 143 "-" "PostmanRuntime/7.28.4"
::ffff:127.0.0.1 - - [10/Oct/2022:02:46:57 +0000] "GET /home/eee HTTP/1.1" 200 - "-" "PostmanRuntime/7.28.4"
::ffff:127.0.0.1 - - [10/Oct/2022:02:47:24 +0000] "GET /home/eee HTTP/1.1" 200 - "-" "PostmanRuntime/7.28.4"
::ffff:127.0.0.1 - - [10/Oct/2022:03:00:16 +0000] "GET /home/eee HTTP/1.1" 404 147 "-" "PostmanRuntime/7.28.4"
::ffff:127.0.0.1 - - [10/Oct/2022:03:00:27 +0000] "GET /home HTTP/1.1" 200 5770 "-" "PostmanRuntime/7.28.4"
::ffff:127.0.0.1 - - [10/Oct/2022:03:00:37 +0000] "GET /home HTTP/1.1" 200 5770 "-" "PostmanRuntime/7.28.4"
::ffff:127.0.0.1 - - [10/Oct/2022:03:03:12 +0000] "GET /home HTTP/1.1" 200 5770 "-" "PostmanRuntime/7.28.4"
::ffff:127.0.0.1 - - [10/Oct/2022:03:03:20 +0000] "GET /home HTTP/1.1" 200 5098 "-" "PostmanRuntime/7.28.4"
::ffff:127.0.0.1 - - [10/Oct/2022:03:29:50 +0000] "GET /user HTTP/1.1" 404 143 "-" "PostmanRuntime/7.28.4"
::ffff:127.0.0.1 - - [10/Oct/2022:10:16:38 +0000] "GET /home HTTP/1.1" 200 5098 "-" "PostmanRuntime/7.28.4"
::ffff:127.0.0.1 - - [10/Oct/2022:10:17:58 +0000] "GET /main.b511a737dd6958d820c0.hot-update.json HTTP/1.1" 404 180 "http://localhost:8848/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36"
::ffff:127.0.0.1 - - [10/Oct/2022:10:18:20 +0000] "GET /home HTTP/1.1" 200 5098 "http://localhost:8848/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36"
::ffff:127.0.0.1 - - [10/Oct/2022:10:18:21 +0000] "GET /home HTTP/1.1" 304 - "http://localhost:8848/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36"
::ffff:127.0.0.1 - - [10/Oct/2022:10:18:33 +0000] "GET /home HTTP/1.1" 304 - "http://localhost:8848/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36"
::ffff:127.0.0.1 - - [10/Oct/2022:10:18:35 +0000] "GET /home HTTP/1.1" 304 - "http://localhost:8848/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36"
::ffff:127.0.0.1 - - [11/Oct/2022:03:15:47 +0000] "GET /home HTTP/1.1" 200 5098 "http://localhost:8848/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36"
::ffff:127.0.0.1 - - [11/Oct/2022:03:16:16 +0000] "GET /home HTTP/1.1" 304 - "http://localhost:8848/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36"
::ffff:127.0.0.1 - - [11/Oct/2022:03:16:16 +0000] "GET /home HTTP/1.1" 304 - "http://localhost:8848/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36"
::ffff:127.0.0.1 - - [11/Oct/2022:11:31:04 +0000] "GET /home HTTP/1.1" 200 5098 "http://localhost:8848/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36"
::ffff:127.0.0.1 - - [11/Oct/2022:11:31:04 +0000] "GET /favicon.ico HTTP/1.1" 404 150 "http://localhost:8848/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36"
::ffff:127.0.0.1 - - [11/Oct/2022:11:31:43 +0000] "GET /home HTTP/1.1" 304 - "http://localhost:8848/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36"
::ffff:127.0.0.1 - - [11/Oct/2022:11:32:01 +0000] "GET /home HTTP/1.1" 304 - "http://localhost:8848/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36"
